,phone_loss,phone_acc,word_loss,word_acc,set
0,3.9001805641492338,0.01842194176602978,4.269967514980612,0.3382709459828079,train
1,3.859118899644674,0.014399727558352766,3.4996405290233956,0.4272170537985354,valid
2,3.884763603863052,0.017422733444795665,2.513441090249038,0.5177134459496009,train
3,3.840011786189695,0.01785901619965595,2.7619863910651063,0.5279556017965266,valid
4,3.88906645910673,0.01793225870142322,2.1378266605630736,0.5717495222076175,train
5,3.8535062747689453,0.019302666595816954,2.480522068351566,0.5633835116408341,valid
6,3.8942281430248302,0.01765365420840293,1.9475629182348073,0.6011251407948555,train
7,3.8694284257328615,0.01562997012981151,2.302477159297978,0.5894334898702499,valid
8,3.9034340696985916,0.016370384680713855,1.8363935953056671,0.6191438798707014,train
9,3.8563182922289276,0.015630567945052794,2.1632765648457957,0.607478994397687,valid
10,3.8962423005517786,0.016586798207768975,1.7628408328149838,0.6309684272367653,train
11,3.8472720520145613,0.01507965161110279,2.1206708177536036,0.6150728536932691,valid
12,3.8920938358170343,0.016375343459871607,1.7198923295426813,0.6382417060675751,train
13,3.8316436566804586,0.016662995076368748,2.0624915132707597,0.6226198211786069,valid
14,3.885706218831424,0.01632076597353652,1.6787681979742282,0.6453977974671232,train
15,3.8329937577954265,0.018660273464493293,2.046294392043906,0.6319453683622397,valid
16,3.8918039555435002,0.01594939958237793,1.6385097706434613,0.6519113637599938,train
17,3.849155862133957,0.015427257327317057,2.005234984236344,0.6352449159487715,valid
18,3.8931794688974404,0.01658746998057126,1.6737159102087116,0.6459455796997022,train
19,3.8623670564212595,0.01601513623769705,2.0829676260142174,0.623160512459777,valid
