,intent_loss,intent_acc,set
0,1.7417669913854943,0.2628012051783412,train
1,1.567200898401665,0.4121212128436927,valid
2,1.467233666454453,0.4743975917977023,train
3,1.1431546767552694,0.6787878820390413,valid
4,1.15968223939459,0.6031626513205379,train
5,0.8685202923688021,0.7515151536825931,valid
6,0.9482901699571724,0.6972891573446343,train
7,0.7110125353842071,0.7757575743126147,valid
8,0.812639074871339,0.7259036144578314,train
9,0.6383104020898992,0.7818181839856234,valid
10,0.7540548285806036,0.7371987951807228,train
11,0.5944726445458152,0.8545454520167727,valid
12,0.6598053122141275,0.7801204826458391,train
13,0.5742632240960093,0.8303030263293874,valid
14,0.6161566735750221,0.784638555653124,train
15,0.5503762032046463,0.8242424264098659,valid
16,0.5502815490745636,0.813253012766321,train
17,0.572276089408181,0.860606054464976,valid
18,0.5340868572154677,0.8072289163807789,train
19,0.5670562653830558,0.8242424264098659,valid
20,0.48865325623247996,0.8433734954121601,train
21,0.5514071460926171,0.8484848495685693,valid
22,0.4750969409942627,0.8411144578313253,train
23,0.5396767576535543,0.8484848434274846,valid
24,0.4419714643294553,0.847138555653124,train
25,0.5438925161506191,0.8606060653021841,valid
26,0.3944655164896724,0.8727409638554217,train
27,0.5189541332649462,0.8484848470398874,valid
28,0.3902815824531647,0.8689759036144579,train
29,0.5238797108332316,0.8606060591610996,valid
30,0.3521171158336731,0.8847891580627625,train
31,0.5206764116431728,0.8727272701985909,valid
32,0.3300011233392968,0.8832831332482487,train
33,0.5586798039349643,0.8242424227974632,valid
34,0.3175959881529751,0.892319277826562,train
35,0.5165657700914326,0.8545454520167727,valid
36,0.2904454114207302,0.9036144578313253,train
37,0.5426288738395229,0.836363638531078,valid
38,0.27247798694185466,0.912650603845895,train
39,0.54874384728345,0.8666666616093028,valid
40,0.604070764815736,0.8203592850062662,valid
