,intent_loss,intent_acc,set
0,3.215574711040706,0.25337195232544063,train
1,2.1167398011401497,0.48075689536933336,valid
2,1.2538623337965822,0.6575306934323377,train
3,1.3840351175084338,0.7039769088862567,valid
4,0.708222164510753,0.8129863393218093,train
5,1.16168144549828,0.7588197567892656,valid
6,0.4946325628501454,0.8710012105165541,train
7,1.103378431853612,0.7844772291076421,valid
8,0.3848517215516809,0.89836590007249,train
9,1.1112115626307617,0.8101347020377403,valid
10,0.3156449925511967,0.9183814629703663,train
11,0.9738384063156695,0.8274534956394977,valid
12,0.28504597992297587,0.9249092167313899,train
13,1.2122377805636433,0.7985888388846607,valid
14,0.26041792243713946,0.9303562165378555,train
15,0.8151307051345429,0.8396407959933767,valid
16,0.23240707688176587,0.9380511845681528,train
17,1.0448345960983487,0.8258499040138729,valid
18,0.2119180165874119,0.9424174304819016,train
19,1.0082835072198688,0.8431686977685606,valid
20,0.19706946966476183,0.9465242954102763,train
21,0.8892259127517171,0.8499037850124855,valid
22,0.17768613120098747,0.9526197475564948,train
23,0.9787527850379234,0.843168698418515,valid
24,0.18441219025935843,0.9501988587444595,train
25,0.9147361679058796,0.8649775503230752,valid
26,0.1560234895216621,0.9557755490436122,train
27,1.0371800018014474,0.8531109688754568,valid
28,0.1576733401561513,0.9576776759879679,train
29,0.9817055560901733,0.8521488137242119,valid
30,0.16627368017626576,0.9550406364097576,train
31,0.9609855671124706,0.8499037850124855,valid
32,0.18820970903707793,0.9487290333942953,train
33,0.9365314794244332,0.8422065429614093,valid
34,0.16273961554920924,0.9553864776273923,train
35,1.072937210260713,0.8377164853085609,valid
36,0.1360610104670847,0.9622168425311478,train
37,0.861924275363998,0.8595253373660515,valid
38,0.15539201262184602,0.9575912156526386,train
39,0.9724820032572425,0.8553559977401136,valid
40,0.14507101099378822,0.9659899815449512,valid
