,intent_loss,intent_acc,set
0,4.134769137058194,0.542087541686164,train
1,1.5652304887771606,0.8965517282485962,valid
2,1.2153135018316583,0.8989898953774963,train
3,0.5393466949462891,0.8620689511299133,valid
4,0.46291453348667133,0.872053866635268,train
5,0.31992971897125244,0.9137930870056152,valid
6,0.2694341833844329,0.9393939343767134,train
7,0.22770076990127563,0.931034505367279,valid
8,0.1921142245884295,0.9461279393045188,train
9,0.1990521103143692,0.931034505367279,valid
10,0.16008684786682578,0.9494949476887481,train
11,0.1888676881790161,0.931034505367279,valid
12,0.12843450868771936,0.9494949444777235,train
13,0.1490653157234192,0.931034505367279,valid
14,0.12169522945126299,0.9562289526165535,train
15,0.14622589945793152,0.931034505367279,valid
16,0.11586752548964337,0.9528619478447269,train
17,0.15237835049629211,0.931034505367279,valid
18,0.09936005112900076,0.9629629611567616,train
19,0.19388951361179352,0.931034505367279,valid
20,0.10410816488342253,0.9562289480007056,train
21,0.14812645316123962,0.9482758641242981,valid
22,0.07464870599785237,0.9764309714137505,train
23,0.11803585290908813,0.9482758641242981,valid
24,0.08055667521475943,0.9663299581017157,train
25,0.13264331221580505,0.9482758641242981,valid
26,0.06794387067006494,0.9730639648357224,train
27,0.13413730263710022,0.9482758641242981,valid
28,0.06806131274210483,0.9696969646797438,train
29,0.13981905579566956,0.9482758641242981,valid
30,0.07115842785799142,0.9730639712577717,train
31,0.141015887260437,0.9482758641242981,valid
32,0.05547058052988566,0.9865319815147605,train
33,0.1246168240904808,0.9482758641242981,valid
34,0.05966153577823029,0.9797979747807538,train
35,0.1388244479894638,0.931034505367279,valid
36,0.0532671597218674,0.9764309746247751,train
37,0.1525300294160843,0.931034505367279,valid
38,0.045264536169943984,0.9898989816707393,train
39,0.08404804766178131,0.9482758641242981,valid
40,0.1430915835974873,0.9710144936174586,valid
