,intent_loss,intent_acc,set
0,4.415010488038448,0.09338521404643621,train
1,3.235354559019332,0.23220012824913108,valid
2,2.3957797783151933,0.41028966712477505,train
3,1.5422547376637583,0.6177036564574936,valid
4,1.162187370757133,0.6964980544875928,train
5,1.0695431904581743,0.7148813343797455,valid
6,0.7557055128120623,0.7756160830606179,train
7,0.9200067588195654,0.7565747275805152,valid
8,0.5505053622867965,0.8335495028359726,train
9,0.8463873330639906,0.7947402181267509,valid
10,0.4041254428806008,0.8811067877215737,train
11,0.7177280590960886,0.8364336119010098,valid
12,0.3109054691570948,0.9165585819282317,train
13,0.7086590527723506,0.8476587554978743,valid
14,0.23622456703848824,0.9437959360138348,train
15,0.6937359876553166,0.8479794743276697,valid
16,0.18137091244911147,0.9576307825335063,train
17,0.652362073668308,0.8630532396382594,valid
18,0.1479702181357148,0.96670990058781,train
19,0.6315651505784089,0.8755612576749555,valid
20,0.14470382783379948,0.9623865110246433,train
21,0.6937022790685535,0.8608082107736026,valid
22,0.12066452789502488,0.9731949848681366,train
23,0.7138134318334005,0.863694676533198,valid
24,0.09606161170912494,0.9796800691742326,train
25,0.6920072332339994,0.867222579187732,valid
26,0.07974410749298641,0.981409425014961,train
27,0.6313673018204853,0.8771648494152781,valid
28,0.06743862440626806,0.9870298313878081,train
29,0.6765332446792632,0.8723540729326342,valid
30,0.07174105166267947,0.9853004755728492,train
31,0.675941259070342,0.8736369473724659,valid
32,0.06125289385021377,0.9835711197578901,train
33,0.6526143073347458,0.8806927521462774,valid
34,0.05780719980191628,0.9874621703415478,train
35,0.7343343568582271,0.8745991023707803,valid
36,0.038716158103656834,0.9939472546476438,train
37,0.6879157265690062,0.8819756257832242,valid
38,0.03627639810824054,0.993514915693904,train
39,0.6984859481692849,0.8787684419202529,valid
40,0.05039848633500286,0.9861651534803286,train
41,0.729447878271131,0.8691468894137565,valid
42,0.039520248417189714,0.9913532209252054,train
43,0.7114491431930265,0.87748556790098,valid
44,0.03152315986455067,0.995244271508863,train
45,0.7109781889444441,0.882937780934469,valid
46,0.02841454319063199,0.993514915693904,train
47,0.6685599344827335,0.8899935861670718,valid
48,0.03573669358553229,0.9943795936013835,train
49,0.7070366258113486,0.8835792179058728,valid
50,0.02153562911263906,0.9961089494163424,train
51,0.681937209530623,0.887107120254546,valid
52,0.01683232725516986,0.9969736273238219,train
53,0.6694946310090437,0.8919178964695615,valid
54,0.020175632852795215,0.9965412883700822,train
55,0.7303440145684634,0.8842206544949506,valid
56,0.02002594391889854,0.9956766104626027,train
57,0.7086892162973564,0.8848620913134239,valid
58,0.020229224564561558,0.9961089494163424,train
59,0.7284266863058897,0.8851828097991258,valid
60,0.019884214943884464,0.9974059662775616,train
61,0.7468014647365764,0.8855035284377581,valid
62,0.01756504496299391,0.9956766104626027,train
63,0.7561301713076978,0.8822963440395304,valid
64,0.024763056791761558,0.9930825767401643,train
65,0.8196429359828761,0.8694676080523889,valid
66,0.021364716502930044,0.9956766104626027,train
67,0.7422608019374287,0.8765234126732699,valid
68,0.017832461033270915,0.9965412883700822,train
69,0.8484328917160181,0.8768441312354371,valid
70,0.014469462971517497,0.9974059662775616,train
71,0.8029960247092403,0.8806927522992078,valid
72,0.020872790937968663,0.9948119325551232,train
73,0.8233469711656063,0.878447723434551,valid
74,0.014333459651327164,0.9969736273238219,train
75,0.7489019578813818,0.8883899939679579,valid
76,0.013429781394639007,0.9969736273238219,train
77,0.73427911417235,0.8858242466940645,valid
78,0.017007689428798795,0.9961089494163424,train
79,0.8060977181767408,0.8813341889647508,valid
80,0.019588388408378406,0.9956766104626027,train
81,0.7804581761895425,0.8826170626781628,valid
82,0.01759107227305734,0.995244271508863,train
83,0.7840163313937233,0.8758819762371227,valid
84,0.023672058936764138,0.995244271508863,train
85,0.7343555908313235,0.8842206548772766,valid
86,0.012084674379247585,0.9978383052313013,train
87,0.7312484854226544,0.8855035277113386,valid
88,0.01732588102948444,0.9956766104626027,train
89,0.7423908127814703,0.8903143044233781,valid
90,0.011471472309932106,0.9969736273238219,train
91,0.8025176019298488,0.8822963440395304,valid
92,0.015201527995757608,0.9974059662775616,train
93,0.8808493595845123,0.8752405391892537,valid
94,0.03022441253814181,0.9930825767401643,train
95,0.8021075625385972,0.8797305969185674,valid
96,0.019447654743396613,0.9956766104883721,train
97,0.7351035486053702,0.8810134706319793,valid
98,0.04031860359356136,0.9896238651102465,train
99,0.761604154507574,0.8765234129791308,valid
100,0.021671137970200205,0.9943795936013835,train
101,0.8061747837063783,0.8794098781270044,valid
102,0.019317610045171022,0.9948119325551232,train
103,0.7407111412367047,0.8816549071445918,valid
104,0.023245441619330155,0.993514915693904,train
105,0.7696437369637799,0.8755612575984904,valid
106,0.018857940892945416,0.9961089494163424,train
107,0.7898695394731318,0.8832584994201709,valid
108,0.012646197242230673,0.9974059662775616,train
109,0.8064586634128196,0.8822963441924608,valid
110,0.011679515351970763,0.9978383052313013,train
111,0.7733468571635987,0.8819756257067589,valid
112,0.007728000249193439,0.9991353220925205,train
113,0.7659678574056484,0.8890314307864313,valid
114,0.0075548199203527315,0.9974059662775616,train
115,0.775435494718986,0.8848620913134239,valid
116,0.006030932268739017,0.9982706441850411,train
117,0.7658627102052348,0.8915971780603249,valid
118,0.01166047445762946,0.9978383052570707,train
119,0.8170470503983855,0.8848620915428196,valid
120,0.01348712193826757,0.9969736273238219,train
121,0.7507332223130007,0.8932007702594388,valid
122,0.0099930198378412,0.9969736273238219,train
123,0.7859223478875763,0.8874278385873174,valid
