,intent_loss,intent_acc,set
0,2.2936240648893715,0.09907833964044598,train
1,2.1451377868652344,0.2295081913471222,valid
2,2.1037971599860126,0.31566820097958437,train
3,1.897784948348999,0.4098360538482666,valid
4,1.8689386454595398,0.437788014313043,train
5,1.582100510597229,0.4590163826942444,valid
6,1.5739085119440808,0.5414746502577434,train
7,1.2802610397338867,0.6065573692321777,valid
8,1.2818248101643153,0.6497695863521593,train
9,0.9974365830421448,0.7704917788505554,valid
10,1.032486650251573,0.7880184320810204,train
11,0.722865104675293,0.8524590134620667,valid
12,0.8081438373860126,0.8456221145968283,train
13,0.515907347202301,0.8852459192276001,valid
14,0.6441402819848829,0.8663594464552568,train
15,0.39622050523757935,0.8852459192276001,valid
16,0.5463145328556887,0.8778801835077699,train
17,0.3117377758026123,0.9344262480735779,valid
18,0.4536008433812225,0.8870967714467906,train
19,0.2680152952671051,0.9016393423080444,valid
20,0.38303430975856867,0.9009216562394173,train
21,0.2252545952796936,0.9508196711540222,valid
22,0.33358449732653006,0.9285714282967528,train
23,0.1958722472190857,0.9672130942344666,valid
24,0.2954623430005966,0.9308755713673781,train
25,0.16396212577819824,0.9672130942344666,valid
26,0.26690190481150755,0.9331797232276283,train
27,0.14667269587516785,0.9836065769195557,valid
28,0.20177765609481918,0.9700460782798205,train
29,0.11730235069990158,0.9836065769195557,valid
30,0.1825925690993186,0.9746543778801844,train
31,0.09408576041460037,0.9836065769195557,valid
32,0.14977921778979938,0.9769585253456221,train
33,0.07294365018606186,0.9836065769195557,valid
34,0.11858804304204229,0.988479262672811,train
35,0.05698169767856598,1.0,valid
36,0.08731674955737206,0.9930875529341984,train
37,0.04427943751215935,1.0,valid
38,0.08095243818680262,0.9953917050691244,train
39,0.03427707403898239,1.0,valid
40,0.09174694457361775,0.9596774289684911,valid
