,intent_loss,intent_acc,set
0,0.42666228060559597,0.850848028286655,train
1,0.5909855703512827,0.8165784832871991,valid
2,0.1835028012903806,0.938302260010909,train
3,0.557789388619613,0.834215167737722,valid
4,0.1441789461768319,0.9513488489541686,train
5,0.5824591722306541,0.8345679012345679,valid
6,0.12577801682442247,0.957072513788107,train
7,0.5374080284772936,0.8405643738346336,valid
8,0.11155914641183955,0.9618282058835907,train
9,0.5876025246564673,0.8402116400434437,valid
10,0.10219692770528259,0.9655317537140693,train
11,0.5426873403041241,0.8539682539051803,valid
12,0.0952687198204864,0.96603678296368,train
13,0.52696629958178,0.852204585579968,valid
14,0.0850753254260631,0.9695719877134634,train
15,0.5470693030580221,0.8567901236039621,valid
16,0.08116435958454699,0.9720971339590084,train
17,0.5709660373667561,0.8578483247042122,valid
18,0.07764696390945589,0.9731492782290307,train
19,0.6157716290660636,0.851146384374595,valid
20,0.07371746555060421,0.9748747948368843,train
21,0.5835537411890123,0.8596119930924982,valid
22,0.0717642481020375,0.9749589663734691,train
23,0.5651526547613598,0.8543209875912473,valid
24,0.06361632727682001,0.978157484954337,train
25,0.6388285003011189,0.8458553793779336,valid
26,0.06463016212339384,0.9787887715163504,train
27,0.6007205736805312,0.8522045856850908,valid
28,0.06281155681718192,0.977736627246328,train
29,0.5484100217226321,0.8582010583482301,valid
30,0.060296018272871926,0.9794621438491646,train
31,0.5854130822199363,0.8617283949566056,valid
32,0.05669009179487698,0.9803880308092927,train
33,0.6122540887280957,0.8613756612705386,valid
34,0.06537698142110651,0.9784520853499432,train
35,0.6247390163218113,0.8599647267785653,valid
36,0.05499031897332855,0.9800092588695762,train
37,0.6144247582349828,0.8638447972201796,valid
38,0.053093977309511015,0.9809772316005052,train
39,0.5730548778538982,0.8673721340808498,valid
40,0.6129218216975737,0.8723527708363457,valid
